airlie_id,flght#,departure_dt,arrival_dt,dep_time,arrivl_time,booking_cd,passngr_nm,seat_no,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_ent,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,number_of_stops,reward_program_member
4,8638,29-09-2023 05:21,13-08-2023 20:09,07:46:07,19:19:02,BPWR,Name_BZHTT,SeatDSV,Business,325.33,No Extras,0,Confirmed,GateQU,D,ClaimOQN,2.56,2,LOCFGB,TypeTLC,Pilot_PWFY,Crew_ETPW,No,Non-Vegetarian,Not Available,TRUE,FALSE,FALSE,0,No
15,1160,07-05-2023 09:43,27-10-2023 22:36,06:26:25,21:32:18,BICW,Name_CITBQ,SeatDEM,Business,629.09,No Extras,492,Pending,GateAH,A,ClaimZOI,6.25,0,LOCDBF,TypeVGU,Pilot_DXSW,Crew_ISXC,Yes,No Meal,Available,TRUE,TRUE,FALSE,1,Yes
11,9067,23-07-2023 04:14,26-06-2023 15:06,11:14:52,13:14:30,BZWP,Name_AXQEM,SeatUSP,Business,60.31,No Extras,0,Confirmed,GateGG,D,ClaimNYJ,7.73,0,LOCBQC,TypeYUH,Pilot_DWMB,Crew_MLVH,No,Vegan,Not Available,FALSE,TRUE,TRUE,0,No
3,4904,27-04-2023 09:38,22-05-2023 00:22,11:57:07,14:14:39,BDND,Name_HGWNH,SeatWVY,First,672.92,No Extras,0,Cancelled,GateJE,A,ClaimOPL,10.35,1,LOCDVA,TypeOSJ,Pilot_VHYL,Crew_QBUQ,No,Non-Vegetarian,Available,FALSE,FALSE,FALSE,2,Yes
3,4573,14-12-2023 01:53,08-06-2023 00:02,09:36:34,03:52:30,BRRR,Name_KCERE,SeatUCU,Economy,442.49,Meal,0,Pending,GateTN,D,ClaimIPV,3.38,2,LOCRAX,TypeHTI,Pilot_PMHD,Crew_AYFE,Yes,No Meal,Available,FALSE,TRUE,TRUE,1,Yes
16,2825,03-08-2023 22:37,01-11-2023 02:31,04:55:54,08:16:03,BUCZ,Name_MEBZM,SeatKLJ,Business,728.53,Meal,0,Cancelled,GateGS,D,ClaimZFK,11.51,1,LOCOUD,TypeUED,Pilot_HFJQ,Crew_KWDS,No,Vegetarian,Not Available,FALSE,TRUE,FALSE,1,No
5,6582,22-09-2023 00:23,10-08-2023 22:17,12:21:47,14:25:01,BGMG,Name_FQHQS,SeatYPU,Economy,846.96,Meal,0,Cancelled,GateKN,D,ClaimHOO,9.56,1,LOCXOF,TypeEHH,Pilot_CJMO,Crew_ELLI,No,Vegan,Available,TRUE,TRUE,FALSE,0,No
10,2176,07-10-2023 21:46,17-10-2023 16:27,19:40:58,15:59:47,BVMX,Name_OARGG,SeatGKA,Business,538.53,Extra Baggage,0,Cancelled,GateZC,D,ClaimOJB,3.97,0,LOCRSE,TypeYMR,Pilot_UGLQ,Crew_RHHI,No,Non-Vegetarian,Not Available,FALSE,FALSE,FALSE,2,Yes
19,5918,04-05-2023 09:15,21-07-2023 08:46,05:58:32,06:49:44,BDPY,Name_PKEUN,SeatNOW,Business,875.75,Meal,0,Confirmed,GateFL,A,ClaimGWO,11.75,0,LOCYAN,TypeMZJ,Pilot_USVT,Crew_MVWG,No,No Meal,Available,TRUE,FALSE,FALSE,0,Yes
4,5880,22-04-2023 23:54,30-06-2023 14:13,01:36:51,13:24:44,BOMJ,Name_WZJEX,SeatDKE,First,176.63,No Extras,0,Pending,GateAS,B,ClaimALV,11.36,2,LOCYSW,TypeLDP,Pilot_YRIU,Crew_TSZA,Yes,Vegan,Available,FALSE,TRUE,FALSE,2,No
19,4220,30-12-2023 21:26,31-07-2023 22:48,09:34:19,05:33:58,BJED,Name_SRZDW,SeatHXE,First,82.78,Extra Baggage,0,Confirmed,GateFX,D,ClaimRFZ,9.16,0,LOCYQQ,TypeOGF,Pilot_SJXF,Crew_XSBC,No,Vegan,Available,FALSE,TRUE,TRUE,2,No
11,8820,01-09-2023 20:30,12-11-2023 03:52,10:57:22,13:12:47,BSOI,Name_ISKCK,SeatBFF,First,891.18,No Extras,0,Pending,GateDU,B,ClaimDYI,7.14,2,LOCYOA,TypeXUV,Pilot_YCTV,Crew_VTGI,No,Vegan,Available,TRUE,TRUE,FALSE,2,Yes
2,1130,30-01-2023 20:39,22-12-2023 23:57,07:25:26,16:40:37,BPDY,Name_GQWRZ,SeatQEN,Economy,161.93,No Extras,0,Pending,GateNU,A,ClaimXWN,11.13,2,LOCKLK,TypeILV,Pilot_EHIB,Crew_KNVO,No,Non-Vegetarian,Not Available,TRUE,TRUE,TRUE,2,No
10,7659,27-11-2023 07:22,29-06-2023 07:42,17:59:17,11:44:43,BKQU,Name_OQZYQ,SeatDON,Business,222,Meal,0,Pending,GateWK,C,ClaimOQX,5.87,2,LOCMXS,TypeGZL,Pilot_MUCB,Crew_RTTT,No,Vegan,Available,FALSE,TRUE,FALSE,0,Yes
11,4562,24-03-2023 16:36,18-11-2023 06:24,21:12:52,10:36:47,BAIL,Name_XJOWP,SeatLAH,First,165.18,Extra Baggage,0,Cancelled,GateGF,B,ClaimNAB,5.68,0,LOCAAW,TypeMKV,Pilot_IJAG,Crew_CTIR,No,Non-Vegetarian,Available,FALSE,TRUE,FALSE,0,No
16,2499,23-11-2023 10:31,05-11-2023 13:40,02:44:22,12:00:56,BWLJ,Name_OZIUS,SeatXRZ,Business,212.79,Extra Baggage,4264,Pending,GateVS,B,ClaimGZX,5.15,1,LOCEQA,TypeUDM,Pilot_WMYH,Crew_QVJO,No,No Meal,Available,TRUE,TRUE,TRUE,1,No
19,8430,20-09-2023 23:51,03-03-2023 05:05,23:12:27,13:39:08,BIUZ,Name_ABFXI,SeatKNY,First,904.14,Meal,705,Confirmed,GateSK,B,ClaimQGF,10.07,1,LOCSHB,TypeOCD,Pilot_MPDH,Crew_WKMH,Yes,Non-Vegetarian,Available,FALSE,FALSE,TRUE,2,No
11,8705,10-06-2023 19:45,09-07-2023 12:38,09:45:07,14:18:42,BYTP,Name_XRAJD,SeatSSD,Business,855.53,Extra Baggage,0,Confirmed,GateVN,B,ClaimDJI,2.71,1,LOCFAY,TypePIN,Pilot_SHXM,Crew_QOGC,No,Vegan,Not Available,FALSE,TRUE,TRUE,1,No
14,8626,27-08-2023 03:00,03-12-2023 13:40,04:00:25,09:49:31,BMCR,Name_NUZFT,SeatGRO,Business,302.24,Meal,0,Pending,GateUX,C,ClaimUKG,1.74,2,LOCBWI,TypeYWB,Pilot_ACOG,Crew_LAZW,No,Vegetarian,Not Available,FALSE,FALSE,TRUE,1,No
2,7679,01-08-2023 23:42,05-05-2023 05:53,09:28:59,01:35:47,BDSY,Name_EOXJC,SeatJPO,Economy,719.4,Meal,0,Pending,GateML,C,ClaimZVI,4.38,1,LOCPFJ,TypeDTA,Pilot_FJPL,Crew_GPDP,Yes,No Meal,Available,TRUE,TRUE,TRUE,0,Yes
5,3788,25-08-2023 18:34,17-08-2023 01:21,09:17:24,06:39:09,BMML,Name_QIIOR,SeatBID,Business,798.93,No Extras,2145,Confirmed,GateMZ,C,ClaimQAH,11.38,1,LOCMJH,TypeRFH,Pilot_FXKL,Crew_AQIP,No,Non-Vegetarian,Available,FALSE,FALSE,TRUE,1,Yes
5,5876,01-03-2023 02:34,12-12-2023 09:53,19:36:48,14:00:03,BXAB,Name_CHCSV,SeatGYW,Business,197.14,No Extras,0,Cancelled,GateAX,C,ClaimZRS,6.04,0,LOCTGZ,TypeENI,Pilot_RMOT,Crew_GBCW,No,Vegan,Not Available,FALSE,TRUE,FALSE,2,Yes
19,4708,13-04-2023 12:58,15-02-2023 04:22,00:04:12,00:49:26,BCVU,Name_MVPGZ,SeatUQL,Business,266.76,No Extras,0,Confirmed,GateLK,C,ClaimDQP,4.38,0,LOCQPG,TypeRAP,Pilot_WSXD,Crew_DUCZ,No,Vegetarian,Not Available,TRUE,FALSE,TRUE,0,No
12,2769,11-10-2023 06:42,31-07-2023 05:07,02:50:08,12:14:48,BUVM,Name_TEZSB,SeatYHU,First,503.92,No Extras,0,Cancelled,GateSZ,C,ClaimYPY,1.59,0,LOCEUL,TypeIJP,Pilot_PBRL,Crew_YRGZ,No,No Meal,Not Available,FALSE,FALSE,FALSE,2,Yes
18,7731,30-06-2023 02:13,01-06-2023 19:37,23:22:31,20:18:27,BLPN,Name_CCBPQ,SeatIXD,Business,654.79,Meal,0,Confirmed,GateEP,C,ClaimNYA,8.3,2,LOCKCI,TypeOGV,Pilot_AXLE,Crew_OCMI,No,Vegetarian,Not Available,FALSE,FALSE,TRUE,1,Yes
4,4044,25-11-2023 16:39,29-08-2023 01:52,15:26:25,05:23:11,BXNQ,Name_PPSQX,SeatBYM,Economy,449.75,No Extras,0,Pending,GateQC,B,ClaimHFY,6.87,2,LOCPRG,TypeTTO,Pilot_HZIJ,Crew_LZLN,Yes,Non-Vegetarian,Not Available,TRUE,FALSE,TRUE,0,Yes
17,1375,13-01-2023 16:43,05-06-2023 21:04,22:58:00,15:49:25,BEFJ,Name_ELVLZ,SeatYGO,Economy,793.62,No Extras,0,Pending,GateLB,D,ClaimJNY,9.71,0,LOCXGV,TypeSHT,Pilot_LQZW,Crew_NNOJ,Yes,Vegan,Available,FALSE,FALSE,FALSE,1,No
10,7347,16-07-2023 08:32,30-05-2023 02:57,23:40:06,11:06:14,BVIZ,Name_GGDFP,SeatHDZ,First,990.79,No Extras,0,Pending,GateQT,C,ClaimVOD,5.47,2,LOCJGG,TypeTDX,Pilot_QSJC,Crew_BNIA,Yes,Vegetarian,Not Available,TRUE,FALSE,FALSE,2,Yes
6,4036,15-06-2023 14:37,23-04-2023 05:31,10:51:09,05:43:01,BGDW,Name_HFWSY,SeatDKQ,Business,871.56,Meal,0,Cancelled,GateZL,A,ClaimIZK,9.17,0,LOCYIC,TypeCVB,Pilot_QHQF,Crew_MNDT,Yes,No Meal,Available,TRUE,TRUE,FALSE,1,Yes
14,9852,22-12-2023 23:48,15-03-2023 21:54,15:36:58,12:34:32,BGKF,Name_JPBNK,SeatMIJ,Economy,858.99,Extra Baggage,0,Cancelled,GateLL,B,ClaimRAS,2.99,1,LOCUAN,TypeAZQ,Pilot_GTAF,Crew_HEQZ,No,No Meal,Not Available,FALSE,FALSE,TRUE,1,No
11,7218,22-04-2023 11:51,22-04-2023 05:44,06:26:58,01:07:05,BPPX,Name_XXBYC,SeatIUN,First,241.51,Meal,0,Pending,GateXH,D,ClaimPPG,8.79,2,LOCYSB,TypeQED,Pilot_LTXA,Crew_WJMU,No,No Meal,Available,TRUE,FALSE,TRUE,0,Yes
11,1740,02-05-2023 00:03,25-12-2023 12:07,09:12:40,10:17:05,BXMZ,Name_ZVKDN,SeatWCH,First,909.23,Meal,0,Cancelled,GateHH,B,ClaimCPL,3.81,2,LOCXYK,TypePXV,Pilot_AEDE,Crew_ZQTJ,No,Vegan,Available,TRUE,FALSE,TRUE,0,Yes
18,9495,03-01-2023 10:45,06-08-2023 13:28,21:20:19,13:09:50,BLVB,Name_ECZHJ,SeatYLH,Economy,991.42,No Extras,1498,Pending,GateEF,A,ClaimDJS,9.98,1,LOCPBW,TypeQZB,Pilot_DIRP,Crew_QTUO,No,Non-Vegetarian,Available,FALSE,FALSE,FALSE,2,Yes
